1 = HS|D11>41
2 = HS|D11>40
3 = HS|D12>91
4 = HS|D12>92
5 = HS|D12>93
6 = HS|D12>94
7 = HS|D12>95
8 = HS|D12>96
9 = HS|D12>97
10 = HS|D12>98
11 = HS|D12>99
12 = HS|D12>100
13 = HS|D12>101
14 = HS|D12>102
15 = HS|D12>103
16 = HS|D12>104
17 = HS|D12>105
18 = HS|D12>106
19 = HS|D12>107
20 = HS|D12>108
21 = HS|D12>109
22 = HS|D12>110
23 = HS|D12>111
24 = HS|D12>112
25 = HS|D12>113
26 = HS|D12>114
27 = HS|D12>115
28 = HS|D12>116
29 = HS|D12>117
30 = HS|D12>118
31 = HS|D12>119
32 = HS|D12>120
33 = HS|D12>121
34 = HS|D12>122
35 = HS|D12>123
36 = HS|D12>124
37 = HS|D12>125
38 = HS|D12>126
39 = HS|D12>127
40 = HS|D12>128
41 = HS|D12>129
42 = HS|D12>130
43 = HS|D12>131
44 = HS|D12>132
45 = HS|D12>133
46 = HS|D12>134
47 = HS|D12>135
48 = HS|D12>136
49 = HS|D12>137
50 = HS|D12>138
51 = HS|D12>139
52 = HS|D12>140
53 = HS|D12>141
54 = HS|D12>142
55 = HS|D12>143
56 = HS|D12>144
57 = HS|D12>145
58 = HS|D12>146
59 = HS|D12>147
60 = HS|D12>148
61 = HS|D12>149
62 = HS|D12>150
63 = HS|D12>151
64 = HS|D12>152
65 = HS|D12>153
66 = HS|D12>154
67 = HS|D12>155
68 = HS|D12>156
69 = HS|D12>157
70 = HS|D12>158
71 = HS|D12>159
72 = HS|D12>160
73 = HS|D12>161
74 = HS|D12>162
75 = HS|D12>163
76 = HS|D12>164
77 = HS|D12>165
78 = HS|D12>166
79 = HS|D12>167
80 = HS|D12>168
81 = HS|D12>169
82 = HS|D12>170
83 = HS|D12>171
84 = HS|D12>172
85 = HS|D12>173
86 = HS|D12>174
87 = HS|D12>175
88 = HS|D12>176
89 = HS|D12>177
90 = HS|D12>178
91 = HS|D12>179
92 = HS|D12>180
93 = HS|D12>179
94 = HS|D12>178
95 = HS|D12>177
96 = HS|D12>176
97 = HS|D12>175
98 = HS|D12>174
99 = HS|D12>173
100 = HS|D12>172
101 = HS|D12>171
102 = HS|D12>170
103 = HS|D12>169
104 = HS|D12>168
105 = HS|D12>167
106 = HS|D12>166
107 = HS|D12>165
108 = HS|D12>164
109 = HS|D12>163
110 = HS|D12>162
111 = HS|D12>161
112 = HS|D12>160
113 = HS|D12>159
114 = HS|D12>158
115 = HS|D12>157
116 = HS|D12>156
117 = HS|D12>155
118 = HS|D12>154
119 = HS|D12>153
120 = HS|D12>152
121 = HS|D12>151
122 = HS|D12>150
123 = HS|D12>149
124 = HS|D12>148
125 = HS|D12>147
126 = HS|D12>146
127 = HS|D12>145
128 = HS|D12>144
129 = HS|D12>143
130 = HS|D12>142
131 = HS|D12>141
132 = HS|D12>140
133 = HS|D12>139
134 = HS|D12>138
135 = HS|D12>137
136 = HS|D12>136
137 = HS|D12>135
138 = HS|D12>134
139 = HS|D12>133
140 = HS|D12>132
141 = HS|D12>131
142 = HS|D12>130
143 = HS|D12>129
144 = HS|D12>128
145 = HS|D12>127
146 = HS|D12>126
147 = HS|D12>125
148 = HS|D12>124
149 = HS|D12>123
150 = HS|D12>122
151 = HS|D12>121
152 = HS|D12>120
153 = HS|D12>119
154 = HS|D12>118
155 = HS|D12>117
156 = HS|D12>116
157 = HS|D12>115
158 = HS|D12>114
159 = HS|D12>113
160 = HS|D12>112
161 = HS|D12>111
162 = HS|D12>110
163 = HS|D12>109
164 = HS|D12>108
165 = HS|D12>107
166 = HS|D12>106
167 = HS|D12>105
168 = HS|D12>104
169 = HS|D12>103
170 = HS|D12>102
171 = HS|D12>101
172 = HS|D12>100
173 = HS|D12>99
174 = HS|D12>98
175 = HS|D12>97
176 = HS|D12>96
177 = HS|D12>95
178 = HS|D12>94
179 = HS|D12>93
180 = HS|D12>92
181 = HS|D12>91
182 = HS|D12>90
183 = HS|D12>89
184 = HS|D12>88
185 = HS|D12>87
186 = HS|D12>86
187 = HS|D12>85
188 = HS|D12>84
189 = HS|D12>83
190 = HS|D12>82
191 = HS|D12>81
192 = HS|D12>80
193 = HS|D12>79
194 = HS|D12>78
195 = HS|D12>77
196 = HS|D12>76
197 = HS|D12>75
198 = HS|D12>74
199 = HS|D12>73
200 = HS|D12>72
201 = HS|D12>71
202 = HS|D12>70
203 = HS|D12>69
204 = HS|D12>68
205 = HS|D12>67
206 = HS|D12>66
207 = HS|D12>65
208 = HS|D12>64
209 = HS|D12>63
210 = HS|D12>62
211 = HS|D12>61
212 = HS|D12>60
213 = HS|D12>59
214 = HS|D12>58
215 = HS|D12>57
216 = HS|D12>56
217 = HS|D12>55
218 = HS|D12>54
219 = HS|D12>53
220 = HS|D12>52
221 = HS|D12>51
222 = HS|D12>50
223 = HS|D12>49
224 = HS|D12>48
225 = HS|D12>47
226 = HS|D12>46
227 = HS|D12>45
228 = HS|D12>44
229 = HS|D12>43
230 = HS|D12>42
231 = HS|D12>41
232 = HS|D12>40
233 = HS|D12>39
234 = HS|D12>38
235 = HS|D12>37
236 = HS|D12>36
237 = HS|D12>37
238 = HS|D12>38
239 = HS|D12>39
240 = HS|D12>40
241 = HS|D12>41
242 = HS|D12>42
243 = HS|D12>43
244 = HS|D12>44
245 = HS|D12>45
246 = HS|D12>46
247 = HS|D12>47
248 = HS|D12>48
249 = HS|D12>49
250 = HS|D12>50
251 = HS|D12>51
252 = HS|D12>52
253 = HS|D12>53
254 = HS|D12>54
255 = HS|D12>55
256 = HS|D12>56
257 = HS|D12>57
258 = HS|D12>58
259 = HS|D12>59
260 = HS|D12>60
261 = HS|D12>61
262 = HS|D12>62
263 = HS|D12>63
264 = HS|D12>64
265 = HS|D12>65
266 = HS|D12>66
267 = HS|D12>67
268 = HS|D12>68
269 = HS|D12>69
270 = HS|D12>70
271 = HS|D12>71
272 = HS|D12>72
273 = HS|D12>73
274 = HS|D12>74
275 = HS|D12>75
276 = HS|D12>76
277 = HS|D12>77
278 = HS|D12>78
279 = HS|D12>79
280 = HS|D12>80
281 = HS|D12>81
282 = HS|D12>82
283 = HS|D12>83
284 = HS|D12>84
285 = HS|D12>85
286 = HS|D12>86
287 = HS|D12>87
288 = HS|D12>88
289 = HS|D12>89
290 = HS|D12>90
291 = HS|D12>91
292 = HS|D12>92
293 = HS|D12>91
294 = HS|D10>91
295 = HS|D10>92
296 = HS|D10>93
297 = HS|D10>94
298 = HS|D10>95
299 = HS|D10>96
300 = HS|D10>97
301 = HS|D10>98
302 = HS|D10>99
303 = HS|D10>100
304 = HS|D10>101
305 = HS|D10>102
306 = HS|D10>103
307 = HS|D10>104
308 = HS|D10>105
309 = HS|D10>106
310 = HS|D10>107
311 = HS|D10>108
312 = HS|D10>109
313 = HS|D10>110
314 = HS|D10>111
315 = HS|D10>112
316 = HS|D10>113
317 = HS|D10>114
318 = HS|D10>115
319 = HS|D10>116
320 = HS|D10>117
321 = HS|D10>118
322 = HS|D10>119
323 = HS|D10>120
324 = HS|D10>121
325 = HS|D10>122
326 = HS|D10>123
327 = HS|D10>124
328 = HS|D10>125
329 = HS|D10>126
330 = HS|D10>127
331 = HS|D10>128
332 = HS|D10>129
333 = HS|D10>130
334 = HS|D10>131
335 = HS|D10>132
336 = HS|D10>133
337 = HS|D10>134
338 = HS|D10>135
339 = HS|D10>134
340 = HS|D10>133
341 = HS|D10>132
342 = HS|D10>131
343 = HS|D10>130
344 = HS|D10>129
345 = HS|D10>128
346 = HS|D10>127
347 = HS|D10>126
348 = HS|D10>125
349 = HS|D10>124
350 = HS|D10>123
351 = HS|D10>122
352 = HS|D10>121
353 = HS|D10>120
354 = HS|D10>119
355 = HS|D10>118
356 = HS|D10>117
357 = HS|D10>116
358 = HS|D10>115
359 = HS|D10>114
360 = HS|D10>113
361 = HS|D10>112
362 = HS|D10>111
363 = HS|D10>110
364 = HS|D10>109
365 = HS|D10>108
366 = HS|D10>107
367 = HS|D10>106
368 = HS|D10>105
369 = HS|D10>104
370 = HS|D10>103
371 = HS|D10>102
372 = HS|D10>101
373 = HS|D10>100
374 = HS|D10>99
375 = HS|D10>98
376 = HS|D10>97
377 = HS|D10>96
378 = HS|D10>95
379 = HS|D10>94
380 = HS|D10>93
381 = HS|D10>92
382 = HS|D10>91
383 = HS|D10>90
384 = HS|D10>89
385 = HS|D10>88
386 = HS|D10>87
387 = HS|D10>86
388 = HS|D10>85
389 = HS|D10>84
390 = HS|D10>83
391 = HS|D10>82
392 = HS|D10>81
393 = HS|D10>80
394 = HS|D10>79
395 = HS|D10>78
396 = HS|D10>77
397 = HS|D10>76
398 = HS|D10>75
399 = HS|D10>74
400 = HS|D10>73
401 = HS|D10>72
402 = HS|D10>71
403 = HS|D10>70
404 = HS|D10>69
405 = HS|D10>68
406 = HS|D10>67
407 = HS|D10>66
408 = HS|D10>65
409 = HS|D10>64
410 = HS|D10>63
411 = HS|D10>62
412 = HS|D10>61
413 = HS|D10>60
414 = HS|D10>59
415 = HS|D10>58
416 = HS|D10>57
417 = HS|D10>56
418 = HS|D10>55
419 = HS|D10>54
420 = HS|D10>53
421 = HS|D10>54
422 = HS|D10>55
423 = HS|D10>56
424 = HS|D10>57
425 = HS|D10>58
426 = HS|D10>59
427 = HS|D10>60
428 = HS|D10>61
429 = HS|D10>62
430 = HS|D10>63
431 = HS|D10>64
432 = HS|D10>65
433 = HS|D10>66
434 = HS|D10>67
435 = HS|D10>68
436 = HS|D10>69
437 = HS|D10>70
438 = HS|D10>71
439 = HS|D10>72
440 = HS|D10>73
441 = HS|D10>74
442 = HS|D10>75
443 = HS|D10>76
444 = HS|D10>77
445 = HS|D10>78
446 = HS|D10>79
447 = HS|D10>80
448 = HS|D10>81
449 = HS|D10>82
450 = HS|D10>83
451 = HS|D10>84
452 = HS|D10>85
453 = HS|D10>86
454 = HS|D10>87
455 = HS|D10>88
456 = HS|D10>89
457 = HS|D10>90
0 = 457
